ticker,naics4,aiie,ai_per_10k_words,ai_mentions_any,accession
NFE,2212,0.3453538,0.0,0,0001140361-22-007364
ZBRA,3344,0.6828295,2.562131693569049,1,0000877212-22-000026
BACK,6211,1.009907,0.0,0,0001493152-22-009946
INSG,5415,1.860226,0.1622138952422664,1,0001022652-22-000011
GURE,8129,-0.7702041,0.0,0,0001193805-22-000613
DBI,4482,0.2810808,0.0,0,0001319947-22-000010
SLAB,3344,0.6828295,0.0,0,0001104659-22-010931
IKNA,6213,0.7008373,0.0,0,0000950170-22-003998
ECOM,5112,1.966309,0.3902819787296321,1,0001169652-22-000007
BBSI,5613,-0.7234654,0.0,0,0001564590-22-008865
DERM,3254,0.4637086,0.0,0,0001410578-22-000558
MTDR,2111,0.6686154,0.0,0,0001520006-22-000065
ARLO,3343,1.161132,1.633453119895459,1,0001736946-22-000010
FC,5416,1.8047,0.0,0,0000886206-22-000028
BTRS,3231,-0.2099964,1.0835556879901396,1,0001774155-22-000033
VNDA,3254,0.4637086,0.0,0,0001628280-22-003629
PPIH,3344,0.6828295,0.0,0,0001437749-22-009216
CIEN,3342,1.181725,0.9409360969970696,1,0000936395-21-000054
NTCT,5415,1.860226,0.0,0,0001628280-22-014892
MGPI,3121,-0.6586424,0.0,0,0001628280-22-003647
KSCP,3359,-0.0384073,0.2385097908269134,1,0001410578-22-000800
LSCC,3344,0.6828295,2.732068175608936,1,0001437749-22-004190
CYTK,5417,1.635407,0.0,0,0001564590-22-007218
CINF,5241,2.058794,0.0,0,0000020286-22-000012
METC,2121,-1.146242,0.0,0,0001558370-22-004987
ABEO,3254,0.4637086,0.0,0,0001493152-22-008259
NCPL,4541,0.6046838,1.557320518810207,1,0001903596-22-000497
NOGN,5614,1.704965,0.1282906553086673,1,0001193125-22-088728
HRTG,5241,2.058794,0.0,0,0000950170-22-003575
USAP,3311,-0.9913391,0.0,0,0001564590-22-005590
PEG,2211,0.2096187,0.0,0,0001628280-22-003860
MNTS,3344,0.6828295,0.0,0,0001781162-22-000023
HYRE,4859,0.9623069,0.2618212284652039,1,0001437749-22-006291
INTA,5415,1.860226,2.279288861875095,1,0001564590-22-031398
GPI,4411,-0.1668894,0.1938134739127064,1,0001031203-22-000007
AMZN,4541,0.6046838,1.7290781543325755,1,0001018724-22-000005
ACHC,6219,0.7869348,0.0,0,0001564590-22-007930
COUR,5415,1.860226,0.8913790907933274,1,0000950170-22-002807
ORLY,4413,-0.6871853,0.0,0,0000898173-22-000012
CAPR,3254,0.4637086,0.0,0,0001558370-22-003341
CHRD,2111,0.6686154,0.0,0,0001486159-22-000014
ALGS,5417,1.635407,0.0,0,0000950170-22-003365
AYX,5415,1.860226,3.410899719548245,1,0001689923-22-000023
JELD,3219,-1.146,0.0,0,0001674335-22-000028
