date,mktrf,rf,mktret
2022-03-15,0.0215,0.0,0.0215
2022-03-16,0.026,0.0,0.026
2022-03-17,0.0142,0.0,0.0142
2022-03-18,0.0132,0.0,0.0132
2022-03-21,-0.0017,0.0,-0.0017
2022-03-22,0.013,0.0,0.013
2022-03-23,-0.0125,0.0,-0.0125
2022-03-24,0.0142,0.0,0.0142
2022-03-25,0.0028,0.0,0.0028
2022-03-28,0.0073,0.0,0.0073
2022-03-29,0.0143,0.0,0.0143
2022-03-30,-0.0082,0.0,-0.0082
2022-03-31,-0.0154,0.0,-0.0154
2022-04-01,0.0039,0.0,0.0039
2022-04-04,0.0093,0.0,0.0093
2022-04-05,-0.0153,0.0,-0.0153
2022-04-06,-0.0123,0.0,-0.0123
2022-04-07,0.0034,0.0,0.0034
2022-04-08,-0.0038,0.0,-0.0038
2022-04-11,-0.0154,0.0,-0.0154
2022-04-12,-0.0029,0.0,-0.0029
2022-04-13,0.0139,0.0,0.0139
2022-04-14,-0.0128,0.0,-0.0128
2022-04-18,-0.0019,0.0,-0.0019
2022-04-19,0.0176,0.0,0.0176
2022-04-20,-0.0027,0.0,-0.0027
2022-04-21,-0.0173,0.0,-0.0173
2022-04-22,-0.0274,0.0,-0.0274
2022-04-25,0.007,0.0,0.007
2022-04-26,-0.0299,0.0,-0.0299
2022-04-27,0.0013,0.0,0.0013
2022-04-28,0.0245,0.0,0.0245
2022-04-29,-0.0354,0.0,-0.0354
2022-05-02,0.008,0.0,0.008
2022-05-03,0.0041,0.0,0.0041
2022-05-04,0.0301,0.0,0.0301
2022-05-05,-0.038,0.0,-0.038
2022-05-06,-0.0085,0.0,-0.0085
2022-05-09,-0.0352,0.0,-0.0352
2022-05-10,0.0022,0.0,0.0022
2022-05-11,-0.0193,0.0,-0.0193
2022-05-12,0.0015,0.0,0.0015
2022-05-13,0.0274,0.0,0.0274
2022-05-16,-0.0059,0.0,-0.0059
2022-05-17,0.0213,0.0,0.0213
2022-05-18,-0.0406,0.0,-0.0406
2022-05-19,-0.0034,0.0,-0.0034
2022-05-20,-0.0005,0.0,-0.0005
2022-05-23,0.0175,0.0,0.0175
2022-05-24,-0.0121,0.0,-0.0121
2022-05-25,0.0121,0.0,0.0121
2022-05-26,0.0218,0.0,0.0218
2022-05-27,0.0258,0.0,0.0258
2022-05-31,-0.0071,0.0,-0.0071
2022-06-01,-0.0074,0.0,-0.0074
2022-06-02,0.0208,0.0,0.0208
2022-06-03,-0.0163,0.0,-0.0163
2022-06-06,0.0033,0.0,0.0033
2022-06-07,0.01,0.0,0.01
2022-06-08,-0.0102,0.0,-0.0102
2022-06-09,-0.0243,0.0,-0.0243
2022-06-10,-0.03,0.0,-0.03
2022-06-13,-0.0412,0.0,-0.0412
2022-06-14,-0.0026,0.0,-0.0026
2022-06-15,0.0155,0.0,0.0155
2022-06-16,-0.0352,0.0,-0.0352
2022-06-17,0.0045,0.0,0.0045
2022-06-21,0.0238,0.0,0.0238
2022-06-22,-0.0019,0.0,-0.0019
2022-06-23,0.0112,0.0,0.0112
2022-06-24,0.0313,0.0,0.0313
2022-06-27,-0.0027,0.0,-0.0027
2022-06-28,-0.0209,0.0,-0.0209
2022-06-29,-0.0019,0.0,-0.0019
2022-06-30,-0.0096,0.0,-0.0096
2022-07-01,0.0115,0.0,0.0115
2022-07-05,0.0048,0.0,0.0048
2022-07-06,0.0017,0.0,0.0017
2022-07-07,0.0176,0.0,0.0176
2022-07-08,-0.0007,0.0,-0.0007
2022-07-11,-0.0138,0.0,-0.0138
2022-07-12,-0.0089,0.0,-0.0089
2022-07-13,-0.0039,0.0,-0.0039
2022-07-14,-0.0041,0.0,-0.0041
2022-07-15,0.0196,0.0,0.0196
2022-07-18,-0.0071,0.0,-0.0071
2022-07-19,0.0281,0.0,0.0281
2022-07-20,0.0089,0.0,0.0089
2022-07-21,0.0097,0.0,0.0097
2022-07-22,-0.0118,0.0,-0.0118
2022-07-25,0.0012,0.0,0.0012
2022-07-26,-0.0132,0.0,-0.0132
2022-07-27,0.0272,0.0,0.0272
2022-07-28,0.0119,0.0,0.0119
2022-07-29,0.0145,0.0,0.0145
2022-08-01,-0.002,0.0001,-0.0019
2022-08-02,-0.005,0.0001,-0.0049
2022-08-03,0.0167,0.0001,0.0168
2022-08-04,-0.0005,0.0001,-0.0004
2022-08-05,-0.0004,0.0001,-0.00030000000000000003
2022-08-08,0.0,0.0001,0.0001
2022-08-09,-0.0067,0.0001,-0.0066
2022-08-10,0.0235,0.0001,0.0236
2022-08-11,-0.0007,0.0001,-0.0006
2022-08-12,0.0176,0.0001,0.0177
2022-08-15,0.0038,0.0001,0.0039
2022-08-16,0.0019,0.0001,0.002
2022-08-17,-0.0092,0.0001,-0.0091
2022-08-18,0.0027,0.0001,0.0028
2022-08-19,-0.0149,0.0001,-0.0148
2022-08-22,-0.0213,0.0001,-0.0212
2022-08-23,-0.0011,0.0001,-0.001
2022-08-24,0.0039,0.0001,0.004
2022-08-25,0.0145,0.0001,0.0146
2022-08-26,-0.0337,0.0001,-0.0336
2022-08-29,-0.0071,0.0001,-0.007
2022-08-30,-0.0111,0.0001,-0.011000000000000001
2022-08-31,-0.0075,0.0001,-0.0073999999999999995
2022-09-01,0.0,0.0001,0.0001
2022-09-02,-0.0099,0.0001,-0.009800000000000001
2022-09-06,-0.0051,0.0001,-0.005
2022-09-07,0.0192,0.0001,0.019299999999999998
2022-09-08,0.0078,0.0001,0.007899999999999999
2022-09-09,0.0167,0.0001,0.0168
2022-09-12,0.0107,0.0001,0.010799999999999999
2022-09-13,-0.0429,0.0001,-0.0428
2022-09-14,0.0044,0.0001,0.0045000000000000005
2022-09-15,-0.0104,0.0001,-0.0103
2022-09-16,-0.0098,0.0001,-0.0097
2022-09-19,0.0072,0.0001,0.0073
2022-09-20,-0.0115,0.0001,-0.0114
2022-09-21,-0.0168,0.0001,-0.0167
2022-09-22,-0.0114,0.0001,-0.011300000000000001
2022-09-23,-0.0185,0.0001,-0.0184
2022-09-26,-0.0102,0.0001,-0.010100000000000001
2022-09-27,-0.0004,0.0001,-0.00030000000000000003
2022-09-28,0.0214,0.0001,0.0215
2022-09-29,-0.0216,0.0001,-0.021500000000000002
2022-09-30,-0.0143,0.0001,-0.0142
2022-10-03,0.0256,0.0001,0.0257
2022-10-04,0.0329,0.0001,0.033
2022-10-05,-0.0021,0.0001,-0.002
2022-10-06,-0.0085,0.0001,-0.008400000000000001
2022-10-07,-0.029,0.0001,-0.028900000000000002
2022-10-10,-0.008,0.0001,-0.0079
2022-10-11,-0.007,0.0001,-0.0069
2022-10-12,-0.0027,0.0001,-0.0026000000000000003
2022-10-13,0.0241,0.0001,0.0242
2022-10-14,-0.0245,0.0001,-0.0244
2022-10-17,0.0274,0.0001,0.0275
2022-10-18,0.0119,0.0001,0.012
2022-10-19,-0.0087,0.0001,-0.0086
2022-10-20,-0.008,0.0001,-0.0079
2022-10-21,0.023,0.0001,0.0231
2022-10-24,0.0103,0.0001,0.0104
2022-10-25,0.0178,0.0001,0.0179
2022-10-26,-0.0066,0.0001,-0.0065
2022-10-27,-0.0054,0.0001,-0.0053
2022-10-28,0.0233,0.0001,0.0234
2022-10-31,-0.0068,0.0001,-0.006699999999999999
2022-11-01,-0.0035,0.0001,-0.0034000000000000002
2022-11-02,-0.0267,0.0001,-0.026600000000000002
2022-11-03,-0.0103,0.0001,-0.0102
2022-11-04,0.0116,0.0001,0.011699999999999999
2022-11-07,0.0087,0.0001,0.008799999999999999
2022-11-08,0.0051,0.0001,0.005200000000000001
2022-11-09,-0.0224,0.0001,-0.0223
2022-11-10,0.0568,0.0001,0.056900000000000006
2022-11-11,0.0106,0.0001,0.0107
2022-11-14,-0.0095,0.0001,-0.0094
2022-11-15,0.0103,0.0001,0.0104
