state,company_raw,notice_date,n_employees,city,layoff_type,source
CA,San Francisco Housing Authority,2022-07-29,15.0,,Layoff Permanent,ca_2022_23.pdf
CA,San Francisco Housing Authority,2022-07-29,65.0,,Layoff Permanent,ca_2022_23.pdf
CA,San Francisco Housing Authority,2022-07-29,66.0,,Layoff Permanent,ca_2022_23.pdf
CA,Silgan Containers,2022-07-29,51.0,,Layoff Temporary,ca_2022_23.pdf
CA,Bayview Hunters Point,2022-08-01,82.0,,Closure Permanent,ca_2022_23.pdf
CA,Alza Corporation,2022-08-01,28.0,,Layoff Permanent,ca_2022_23.pdf
CA,Talis Biomedical Corporation,2022-08-01,57.0,,Layoff Permanent,ca_2022_23.pdf
CA,"The Lafayette Hotel, Swim Club & Bungalows",2022-08-01,73.0,,Layoff Temporary,ca_2022_23.pdf
CA,"Wallboard Tool Co., Inc.",2022-08-01,100.0,,Closure Permanent,ca_2022_23.pdf
CA,"Robinhood Markets, Inc.",2022-08-02,146.0,,Layoff Permanent,ca_2022_23.pdf
CA,Godspeed Logistics LLC,2022-08-03,64.0,,Closure Permanent,ca_2022_23.pdf
CA,Promenade Care Center LLC,2022-08-03,111.0,,Closure Permanent,ca_2022_23.pdf
CA,"Safran Cabin Galleys US, Inc.",2022-08-04,100.0,,Closure Permanent,ca_2022_23.pdf
CA,"Oracle America, Inc.",2022-08-04,201.0,,Layoff Permanent,ca_2022_23.pdf
CA,Hubbell Power Systems,2022-08-05,193.0,,Closure Permanent,ca_2022_23.pdf
CA,"Eko Devices, Inc.",2022-08-05,5.0,,Closure Permanent,ca_2022_23.pdf
CA,"HCI, LLC",2022-08-08,111.0,,Closure Permanent,ca_2022_23.pdf
CA,"HCI, LLC",2022-08-08,30.0,,Closure Permanent,ca_2022_23.pdf
CA,"HCI, LLC",2022-08-08,31.0,,Closure Permanent,ca_2022_23.pdf
CA,"HCI, LLC",2022-08-08,109.0,,Closure Permanent,ca_2022_23.pdf
CA,"Tempo Automation, Inc.",2022-08-08,54.0,,Layoff Permanent,ca_2022_23.pdf
CA,Atara Biotherapeutics,2022-08-08,14.0,,Layoff Permanent,ca_2022_23.pdf
CA,Atara Biotherapeutics,2022-08-08,55.0,,Layoff Permanent,ca_2022_23.pdf
CA,Atara Biotherapeutics,2022-08-08,8.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Modern Times Drinks, Inc.",2022-08-09,33.0,,Closure Permanent,ca_2022_23.pdf
CA,"Modern Times Drinks, Inc.",2022-08-09,57.0,,Closure Permanent,ca_2022_23.pdf
CA,"Modern Times Drinks, Inc.",2022-08-09,16.0,,Closure Permanent,ca_2022_23.pdf
CA,"Modern Times Drinks, Inc.",2022-08-09,3.0,,Closure Permanent,ca_2022_23.pdf
CA,"Modern Times Drinks, Inc.",2022-08-09,15.0,,Closure Permanent,ca_2022_23.pdf
CA,Shift Technologies Inc.,2022-08-09,77.0,,Layoff Permanent,ca_2022_23.pdf
CA,Shift Technologies Inc.,2022-08-09,52.0,,Layoff Permanent,ca_2022_23.pdf
CA,Shift Technologies Inc.,2022-08-09,81.0,,Closure Permanent,ca_2022_23.pdf
CA,Shift Technologies Inc.,2022-08-09,53.0,,Closure Permanent,ca_2022_23.pdf
CA,Shift Technologies Inc.,2022-08-09,33.0,,Closure Permanent,ca_2022_23.pdf
CA,Fasnap Corporation,2022-08-11,5.0,,Closure Permanent,ca_2022_23.pdf
CA,Silgan Containers,2022-08-11,35.0,,Layoff Temporary,ca_2022_23.pdf
CA,Malwarebytes,2022-08-12,47.0,,Layoff Permanent,ca_2022_23.pdf
CA,Timber Products Company,2022-08-15,145.0,,Closure Permanent,ca_2022_23.pdf
CA,"Avanir Pharmaceuticals, Inc.",2022-08-15,16.0,,Layoff Permanent,ca_2022_23.pdf
CA,Autodesk,2022-08-15,578.0,,Closure Permanent,ca_2022_23.pdf
CA,Cepheid,2022-08-16,632.0,,Closure Permanent,ca_2022_23.pdf
CA,Cepheid,2022-08-16,36.0,,Closure Permanent,ca_2022_23.pdf
CA,Cepheid,2022-08-16,250.0,,Layoff Permanent,ca_2022_23.pdf
CA,Cepheid,2022-08-16,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,Cepheid,2022-08-16,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,Cepheid,2022-08-16,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,Cepheid,2022-08-16,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,Cepheid,2022-08-16,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,Cepheid,2022-08-16,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,Cepheid,2022-08-16,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,Cepheid,2022-08-16,20.0,,Layoff Permanent,ca_2022_23.pdf
CA,Cepheid,2022-08-16,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,Cepheid,2022-08-16,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,Cepheid,2022-08-16,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Clairemont Healthcare & Wellness Centre, LLC dba
Abby Gardens Healthcare Center",2022-08-18,104.0,,Closure Permanent,ca_2022_23.pdf
CA,"PACT Pharma, Inc.",2022-08-19,51.0,,Layoff Permanent,ca_2022_23.pdf
CA,Zymergen Inc.,2022-08-25,80.0,,Layoff Permanent,ca_2022_23.pdf
CA,Mechanics Bank,2022-08-25,56.0,,Closure Permanent,ca_2022_23.pdf
CA,"Cal-Multi, LLC",2022-08-26,100.0,,Layoff Permanent,ca_2022_23.pdf
CA,"NBCUniversal Media, LLC and NBCUniversal
Production Services, LLC",2022-08-26,37.0,,Layoff Permanent,ca_2022_23.pdf
CA,Dacor,2022-08-26,91.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Santa Teresita, Inc.",2022-08-29,96.0,,Closure Permanent,ca_2022_23.pdf
CA,"Snap, Inc. wholly owned subsidiary of PSA Risk
Management Services Inc.",2022-08-31,401.0,,Layoff Permanent,ca_2022_23.pdf
CA,Infineon Technologies Americas Corp.,2022-08-31,375.0,,Closure Permanent,ca_2022_23.pdf
CA,"Snap Inc., subsidiary of PSA Risk Management
Services",2022-08-31,44.0,,Layoff Permanent,ca_2022_23.pdf
