date,mktrf,rf,smb,hml,umd,mktret
2024-06-18,0.002,0.0002,-0.0054,0.0037,0.0106,0.0022
2024-06-20,-0.003,0.0002,-0.0037,0.0025,-0.0083,-0.0028
2024-06-21,-0.0013,0.0002,0.0058,-0.0051,-0.0104,-0.0010999999999999998
2024-06-24,-0.0026,0.0002,0.0025,0.0109,-0.0079,-0.0024
2024-06-25,0.0031,0.0002,-0.0055,-0.0121,0.0123,0.0033
2024-06-26,0.0016,0.0002,0.001,-0.0021,-0.0042,0.0018000000000000002
2024-06-27,0.0014,0.0002,0.0072,-0.0039,-0.0021,0.0016
2024-06-28,-0.0035,0.0002,0.0072,0.0127,0.0036,-0.0033
2024-07-01,0.0023,0.0002,-0.0099,-0.0047,0.0088,0.0025
2024-07-02,0.0057,0.0002,-0.0054,0.004,-0.0048,0.0059
2024-07-03,0.0048,0.0002,-0.0004,-0.0069,0.002,0.004999999999999999
2024-07-05,0.0048,0.0002,-0.0047,-0.0143,-0.0029,0.004999999999999999
2024-07-08,0.001,0.0002,0.0062,-0.0019,0.003,0.0012000000000000001
2024-07-09,0.0,0.0002,-0.006,0.0051,0.004,0.0002
2024-07-10,0.0097,0.0002,-0.0006,0.004,0.0037,0.0099
2024-07-11,-0.006,0.0002,0.036,0.0176,-0.0129,-0.0058000000000000005
2024-07-12,0.0058,0.0002,0.0072,-0.0046,-0.0072,0.005999999999999999
2024-07-15,0.0038,0.0002,0.0098,0.006,0.0065,0.004
2024-07-16,0.0082,0.0002,0.0235,0.0134,-0.0127,0.008400000000000001
2024-07-17,-0.0149,0.0002,-0.0032,0.0244,-0.0186,-0.0147
2024-07-18,-0.0095,0.0002,-0.0109,0.0002,0.0089,-0.0093
2024-07-19,-0.0068,0.0002,0.0016,-0.0013,0.0046,-0.0066
2024-07-22,0.0108,0.0002,0.0088,-0.0056,0.0058,0.011000000000000001
2024-07-23,-0.0007,0.0002,0.0129,0.0,0.0072,-0.0005
2024-07-24,-0.024,0.0002,-0.0066,0.0171,-0.0047,-0.0238
2024-07-25,-0.003,0.0002,0.0148,0.0067,-0.0171,-0.0028
2024-07-26,0.011,0.0002,0.0053,-0.0017,0.0011,0.0112
2024-07-29,-0.0002,0.0002,-0.01,-0.0048,-0.005,0.0
2024-07-30,-0.0049,0.0002,0.0009,0.0134,-0.0109,-0.0047
2024-07-31,0.0152,0.0002,-0.0034,-0.0133,0.01,0.0154
2024-08-01,-0.0161,0.0002,-0.0131,-0.0066,-0.0001,-0.0159
2024-08-02,-0.0211,0.0002,-0.0101,-0.0077,-0.014,-0.020900000000000002
2024-08-05,-0.0302,0.0002,-0.0045,-0.0001,-0.0018,-0.030000000000000002
2024-08-06,0.01,0.0002,0.0002,-0.0056,0.013,0.0102
2024-08-07,-0.0083,0.0002,-0.0077,0.007,-0.0017,-0.0081
2024-08-08,0.0238,0.0002,0.0043,-0.0081,0.0087,0.024
2024-08-09,0.0043,0.0002,-0.0077,-0.0034,0.0144,0.0045
2024-08-12,-0.0008,0.0002,-0.0066,-0.0058,0.0125,-0.0006000000000000001
2024-08-13,0.0169,0.0002,0.0057,-0.0075,-0.0031,0.017099999999999997
2024-08-14,0.003,0.0002,-0.0113,0.0025,0.0076,0.0032
2024-08-15,0.0177,0.0002,0.0127,-0.0075,0.0006,0.0179
2024-08-16,0.0022,0.0002,-0.0003,0.0077,0.0009,0.0024000000000000002
2024-08-19,0.0098,0.0002,0.0046,-0.0026,0.0022,0.01
2024-08-20,-0.0031,0.0002,-0.0066,-0.0065,0.0006,-0.0029
2024-08-21,0.0051,0.0002,0.0102,-0.0064,0.001,0.0053
2024-08-22,-0.0096,0.0002,-0.0068,0.0137,0.0039,-0.009399999999999999
2024-08-23,0.0129,0.0002,0.0191,0.0085,0.0013,0.0131
2024-08-26,-0.0034,0.0002,0.001,0.0018,-0.0044,-0.0031999999999999997
2024-08-27,0.0005,0.0002,-0.0085,0.0002,0.0052,0.0007
2024-08-28,-0.0066,0.0002,-0.0055,0.0114,0.0033,-0.0064
2024-08-29,0.0007,0.0002,0.0038,0.0029,-0.0078,0.0009
2024-08-30,0.0098,0.0002,-0.0055,0.0005,0.0067,0.01
2024-09-03,-0.0226,0.0002,-0.0124,0.0136,-0.0068,-0.0224
2024-09-04,-0.0022,0.0002,0.0015,-0.0058,-0.002,-0.002
2024-09-05,-0.0031,0.0002,0.0026,-0.0068,-0.0035,-0.0029
2024-09-06,-0.0182,0.0002,-0.0021,0.0018,-0.0016,-0.018000000000000002
2024-09-09,0.0109,0.0002,-0.0083,-0.0072,0.0089,0.0111
2024-09-10,0.004,0.0002,0.0015,-0.0083,-0.0004,0.0042
2024-09-11,0.0104,0.0002,-0.0003,-0.0164,0.0086,0.0106
2024-09-12,0.008,0.0002,0.0062,-0.005,0.0055,0.0082
2024-09-13,0.007,0.0002,0.019,0.0003,-0.0019,0.0072
2024-09-16,0.0016,0.0002,-0.0034,0.0091,-0.0015,0.0018000000000000002
2024-09-17,0.0008,0.0002,0.0053,0.0055,-0.0041,0.001
2024-09-18,-0.0025,0.0002,0.0012,0.0027,0.0002,-0.0023
2024-09-19,0.0177,0.0002,0.0048,-0.002,0.006,0.0179
2024-09-20,-0.0026,0.0002,-0.0073,-0.0063,0.007,-0.0024
2024-09-23,0.0021,0.0002,-0.0081,-0.001,-0.0056,0.0023
2024-09-24,0.0024,0.0002,0.0011,-0.0057,0.0,0.0026
2024-09-25,-0.0029,0.0002,-0.0065,-0.0071,0.0099,-0.0026999999999999997
2024-09-26,0.0043,0.0002,0.0018,0.0043,-0.0064,0.0045
2024-09-27,-0.0009,0.0002,0.0042,0.0057,-0.0166,-0.0007
2024-09-30,0.0036,0.0002,-0.0012,0.0014,0.0062,0.0038
2024-10-01,-0.0097,0.0002,-0.0089,-0.0004,-0.0044,-0.0095
2024-10-02,0.0,0.0002,-0.0019,-0.0017,0.0049,0.0002
2024-10-03,-0.0023,0.0002,-0.006,0.002,0.0081,-0.0021
2024-10-04,0.0103,0.0002,0.0039,0.0027,0.0002,0.0105
2024-10-07,-0.0097,0.0002,-0.0016,0.003,0.0003,-0.0095
2024-10-08,0.0087,0.0002,-0.003,-0.0111,0.0147,0.0089
2024-10-09,0.0069,0.0002,-0.0046,0.0018,0.0007,0.0070999999999999995
2024-10-10,-0.002,0.0002,-0.0032,0.0009,-0.0015,-0.0018
2024-10-11,0.0075,0.0002,0.0107,0.0076,0.0112,0.007699999999999999
2024-10-14,0.007,0.0002,-0.0002,-0.0031,0.0059,0.0072
2024-10-15,-0.0072,0.0002,0.0076,0.0051,0.0021,-0.007
2024-10-16,0.0052,0.0002,0.0091,0.0054,0.0026,0.005399999999999999
2024-10-17,-0.0005,0.0002,-0.0009,0.0016,-0.0021,-0.00030000000000000003
2024-10-18,0.0036,0.0002,-0.0019,-0.0074,0.0005,0.0038
2024-10-21,-0.0029,0.0002,-0.0103,-0.0119,0.0051,-0.0026999999999999997
2024-10-22,-0.0011,0.0002,-0.0031,0.0058,0.0004,-0.0009000000000000001
2024-10-23,-0.0097,0.0002,-0.0038,0.0108,-0.0033,-0.0095
2024-10-24,0.0029,0.0002,0.0015,-0.0029,0.0,0.0031
2024-10-25,-0.0008,0.0002,-0.0002,-0.0082,-0.0006,-0.0006000000000000001
2024-10-28,0.0038,0.0002,0.0113,0.0064,0.0036,0.004
2024-10-29,0.0015,0.0002,0.0014,-0.0107,0.0057,0.0017000000000000001
2024-10-30,-0.0032,0.0002,-0.0008,0.0074,-0.0033,-0.003
2024-10-31,-0.018,0.0002,-0.0038,0.0059,-0.0108,-0.0178
2024-11-01,0.0047,0.0002,0.0059,-0.0107,-0.0023,0.0049
2024-11-04,-0.0027,0.0002,0.0081,-0.0055,-0.0044,-0.0025
2024-11-05,0.013,0.0002,0.0082,-0.0012,0.0084,0.0132
2024-11-06,0.0291,0.0002,0.0189,0.0359,0.0113,0.0293
2024-11-07,0.0066,0.0002,-0.0017,-0.0272,0.0041,0.0068
2024-11-08,0.0043,0.0002,0.004,-0.005,0.0104,0.0045
2024-11-11,0.0032,0.0002,0.0091,0.0086,-0.009,0.0034000000000000002
2024-11-12,-0.0038,0.0002,-0.0124,0.0013,0.004,-0.0036
2024-11-13,-0.0012,0.0002,-0.0104,0.0018,-0.0061,-0.0009999999999999998
2024-11-14,-0.0071,0.0002,-0.0082,0.0072,0.0018,-0.006900000000000001
2024-11-15,-0.0138,0.0002,-0.0086,0.0166,-0.0022,-0.0136
2024-11-18,0.0041,0.0002,-0.0039,-0.0001,-0.0027,0.0043
