state,company_raw,notice_date,n_employees,city,county,layoff_type,source
TX,"Aryzta, LLC",2020-03-06,95.0,Austin,Travis,,warn_tx.json
TX,"Cargo Leasing Services, LLC",2020-03-09,60.0,San Antonio,Bexar,,warn_tx.json
TX,SXSW,2020-03-10,60.0,Austin,Travis,,warn_tx.json
TX,"Hohmann & Barnard, Inc.",2020-03-13,13.0,Fort Worth,Tarrant,,warn_tx.json
TX,M&M Manufacturing,2020-03-13,43.0,Fort Worth,Tarrant,,warn_tx.json
TX,Schulte Companies-NE Loop 410,2020-03-16,27.0,San Antonio,Bexar,,warn_tx.json
TX,Alamo Drafthouse-Katy,2020-03-16,121.0,Katy,Fort Bend,,warn_tx.json
TX,Alamo Drafthouse-Lubbock,2020-03-16,121.0,Lubbock,Lubbock,,warn_tx.json
TX,Pappadeaux Seafood Kitchen 04,2020-03-16,100.0,Houston,Harris,,warn_tx.json
TX,Aramark Educational Services of TX,2020-03-16,420.0,San Antonio,Bexar,,warn_tx.json
TX,Alamo Drafthouse - El Paso,2020-03-16,116.0,El Paso,El Paso,,warn_tx.json
TX,FTS International Services,2020-03-17,35.0,Ft. Worth,Tarrant,,warn_tx.json
TX,Four Seasons Resort,2020-03-17,100.0,Irving,Dallas,,warn_tx.json
TX,Ra Sushi Addison Corp,2020-03-17,36.0,Addison,Dallas,,warn_tx.json
TX,Haliburton Energy Services-N. Sam Houston,2020-03-18,3500.0,Houston,Harris,,warn_tx.json
TX,Marriott Austin South,2020-03-19,69.0,Austin,Travis,,warn_tx.json
TX,El Fenix,2020-03-19,70.0,Dallas,Dallas,,warn_tx.json
TX,Apache Corp.-Midland,2020-03-19,85.0,Midland,Midland,,warn_tx.json
TX,Punch Bowl Social,2020-03-19,93.0,Dallas,Dallas,,warn_tx.json
TX,Punch Bowl Social-Domain,2020-03-19,92.0,Austin,Travis,,warn_tx.json
TX,Tenaris-IPSCO Koppel Tubulars,2020-03-19,223.0,Baytown,Harris,,warn_tx.json
TX,Texas Central School Bus,2020-03-19,309.0,Keller,Tarrant,,warn_tx.json
TX,Sheraton Suites Market Center,2020-03-19,56.0,Dallas,Dallas,,warn_tx.json
TX,Punch Bowl Social-Congress,2020-03-19,130.0,Austin,Travis,,warn_tx.json
TX,FTS International Services-Pleasnton,2020-03-19,207.0,Pleasanton,Atascosa,,warn_tx.json
TX,Uncle Julio's-Dallas,2020-03-19,82.0,Dallas,Dallas,,warn_tx.json
TX,Warwick Melrose Hotel,2020-03-20,113.0,Dallas,Dallas,,warn_tx.json
TX,Sheraton Ft. Worth,2020-03-20,164.0,Ft. Worth,Tarrant,,warn_tx.json
TX,Virgin Hotels Dallas,2020-03-20,199.0,Dallas,Dallas,,warn_tx.json
TX,FTS International Services-Odessa,2020-03-20,207.0,Odessa,Ector,,warn_tx.json
TX,Sydell Hotels LLC,2020-03-20,181.0,Austin,Travis,,warn_tx.json
TX,Hilton Lincoln Center,2020-03-20,97.0,Dallas,Dallas,,warn_tx.json
TX,Tapatio Springs Resort,2020-03-20,58.0,Boerne,Kendall,,warn_tx.json
TX,Sport Clips,2020-03-20,66.0,Georgetown,Williamson,,warn_tx.json
TX,Benchmark Hospitality of Corpus Christi,2020-03-20,115.0,Corpus Ch,Nueces,,warn_tx.json
TX,SA Burger,2020-03-20,5.0,San Marcos,Hays,,warn_tx.json
TX,Rio Plaza,2020-03-20,3.0,San Antonio,Bexar,,warn_tx.json
TX,Mule Restaurant Group,2020-03-20,147.0,San Antonio,Bexar,,warn_tx.json
TX,Four Seasons Hotel-Austin,2020-03-20,369.0,Austin,Travis,,warn_tx.json
TX,Hilton-Arlington,2020-03-20,83.0,Arlington,Tarrant,,warn_tx.json
TX,Wyndham San Antonio Riverwalk,2020-03-21,141.0,San Antonio,Bexar,,warn_tx.json
TX,Embassy Suites-San Antonio,2020-03-21,41.0,San Antonio,Bexar,,warn_tx.json
TX,Marriott Dallas Addison Quorum by the Galleria,2020-03-21,79.0,Dallas,Dallas,,warn_tx.json
TX,Marriott Odessa Hotel,2020-03-21,127.0,Odessa,Ector,,warn_tx.json
TX,Austin Hotel and Residences,2020-03-21,210.0,Austin,Travis,,warn_tx.json
TX,Vacation Publications dba Vacations To,2020-03-22,325.0,Houston,Harris,,warn_tx.json
TX,CBC Restaurant Corp. dba Corner Bakery Café,2020-03-22,67.0,Dallas,Dallas,,warn_tx.json
TX,Take 5 Department 548,2020-03-23,4.0,Webster,Harris,,warn_tx.json
TX,Take 5 Department 511,2020-03-23,7.0,Irving,Dallas,,warn_tx.json
TX,Schulte Companies-Richland Hills,2020-03-23,19.0,San Antonio,Bexar,,warn_tx.json
TX,Schulte Companies-Loop 1604,2020-03-23,13.0,San Antonio,Bexar,,warn_tx.json
TX,Schulte Companies-Navarro St.,2020-03-23,21.0,San Antonio,Bexar,,warn_tx.json
TX,Schulte Companies-Houston,2020-03-23,18.0,Houston,Harris,,warn_tx.json
TX,Schulte Companies-Dallas,2020-03-23,2.0,Dallas,Dallas,,warn_tx.json
TX,Schulte Companies-E. Houston,2020-03-23,22.0,San Antonio,Bexar,,warn_tx.json
TX,Schulte Companies-Cinema Ridge,2020-03-23,19.0,San Antonio,Bexar,,warn_tx.json
TX,Take 5 Department 527,2020-03-23,7.0,Dallas,Dallas,,warn_tx.json
TX,Take 5 Department 512,2020-03-23,5.0,Irving,Dallas,,warn_tx.json
TX,Take 5 Department 51,2020-03-23,7.0,Garland,Dallas,,warn_tx.json
TX,Take 5 Department 203,2020-03-23,3.0,Garland,Dallas,,warn_tx.json
TX,Take 5 Department 204,2020-03-23,8.0,Fort Worth,Tarrant,,warn_tx.json
TX,Take 5 Department 533,2020-03-23,6.0,Sachse,Dallas,,warn_tx.json
TX,Take 5 Department 107,2020-03-23,4.0,Huntsville,Walker,,warn_tx.json
TX,Hilton Houston Galeria,2020-03-23,35.0,Houston,Harris,,warn_tx.json
TX,Take 5 Department 558,2020-03-23,4.0,Houston,Harris,,warn_tx.json
TX,Take 5 Department 560,2020-03-23,3.0,Houston,Harris,,warn_tx.json
TX,Take 5 Department 561,2020-03-23,6.0,Humble,Harris,,warn_tx.json
TX,Take 5 Department 562,2020-03-23,6.0,Channelview,Harris,,warn_tx.json
TX,Take 5 Department 608,2020-03-23,3.0,Houston,Harris,,warn_tx.json
TX,Take 5 Department 101,2020-03-23,5.0,Spring,Harris,,warn_tx.json
TX,Take 5 Department 566,2020-03-23,3.0,Houston,Harris,,warn_tx.json
TX,Take 5 Department 109,2020-03-23,4.0,College Station,Brazos,,warn_tx.json
TX,Take 5 Department 117,2020-03-23,7.0,Missouri City,Fort Bend,,warn_tx.json
TX,Take 5 Department 507,2020-03-23,2.0,Hudson Oaks,Parker,,warn_tx.json
TX,Take 5 Department 540,2020-03-23,3.0,Houston,Harris,,warn_tx.json
TX,Take 5 Department 541,2020-03-23,7.0,Houston,Harris,,warn_tx.json
TX,Take 5 Department 103,2020-03-23,4.0,Pasadena,Harris,,warn_tx.json
TX,Take 5 Department 543,2020-03-23,4.0,Houston,Harris,,warn_tx.json
TX,Dyn365 dba Restaurant365,2020-03-23,95.0,Austin,Travis,,warn_tx.json
TX,Collegiate Hotel Group,2020-03-23,35.0,Dallas,Dallas,,warn_tx.json
TX,Take 5 Department 171,2020-03-23,4.0,San Antonio,Bexar,,warn_tx.json
TX,Take 5 Department 173,2020-03-23,5.0,San Antonio,Bexar,,warn_tx.json
TX,Take 5 Department 174,2020-03-23,6.0,San Antonio,Bexar,,warn_tx.json
TX,Take 5 Department 176,2020-03-23,4.0,San Antonio,Bexar,,warn_tx.json
TX,Take 5 Department 557,2020-03-23,3.0,Houston,Harris,,warn_tx.json
TX,Alsco - Houston,2020-03-23,128.0,Houston,Fort Bend,,warn_tx.json
TX,Hard Rock Café,2020-03-23,39.0,Houston,Harris,,warn_tx.json
TX,Maines Paper & Food Service,2020-03-23,41.0,Terrell,Kaufman,,warn_tx.json
TX,Take 5 Department 82,2020-03-23,4.0,Houston,Harris,,warn_tx.json
TX,Take 5 Department 81,2020-03-23,9.0,Houston,Harris,,warn_tx.json
TX,Take 5 Department 83,2020-03-23,5.0,Spring,Montgomery,,warn_tx.json
TX,Take 5 Department 86,2020-03-23,5.0,Houston,Harris,,warn_tx.json
TX,Take 5 Department 97,2020-03-23,6.0,Cypress,Harris,,warn_tx.json
TX,Cantina Del Rio,2020-03-23,52.0,New Braunfels,Comal,,warn_tx.json
TX,Take 5 Department 431,2020-03-23,6.0,Lake Worth,Tarrant,,warn_tx.json
TX,Take 5 Department 245,2020-03-23,6.0,Houston,Harris,,warn_tx.json
TX,Take 5 Department 246,2020-03-23,6.0,Hale Center,Hale,,warn_tx.json
TX,Take 5 Department 253,2020-03-23,5.0,Houston,Harris,,warn_tx.json
TX,Take 5 Department 414,2020-03-23,3.0,La Porte,Harris,,warn_tx.json
TX,Take 5 Department 415,2020-03-23,3.0,Houston,Harris,,warn_tx.json
TX,Take 5 Department 104,2020-03-23,5.0,Spring,Montgomery,,warn_tx.json
TX,Take 5 Deaprtment 427,2020-03-23,4.0,Houston,Fort Bend,,warn_tx.json
TX,Take 5 Department 233,2020-03-23,6.0,Pearland,Brazoria,,warn_tx.json
TX,Take 5 Department 555,2020-03-23,7.0,Katy,Fort Bend,,warn_tx.json
TX,Take 5 Department 556,2020-03-23,6.0,Houston,Harris,,warn_tx.json
TX,Take 5 Department 564,2020-03-23,5.0,Crosby,Harris,,warn_tx.json
TX,Take 5 Department 565,2020-03-23,5.0,League City,Galveston,,warn_tx.json
TX,Take 5 Department 64,2020-03-23,8.0,Dallas,Dallas,,warn_tx.json
