notice_date,company_raw,county,n_employees,layoff_type,city,source,state
2022-09-09,USRA at ARC,Santa Clara County,1.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-09,USRA at ARC,Santa Clara County,2.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-09,USRA at ARC,Santa Clara County,2.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-09,USRA at ARC,Santa Clara County,5.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-09,USRA at ARC,Santa Clara County,2.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-09,USRA at ARC,Santa Clara County,1.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-09,USRA at ARC,Santa Clara County,4.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-09,USRA at ARC,Santa Clara County,4.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-09,USRA at ARC,Santa Clara County,3.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-09,USRA at ARC,Santa Clara County,8.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-09,USRA at ARC,Santa Clara County,1.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-09,USRA at ARC,Santa Clara County,2.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-09,USRA at ARC,Santa Clara County,1.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-09,USRA at ARC,Santa Clara County,3.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-09,USRA at ARC,Santa Clara County,1.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-09,USRA at ARC,Santa Clara County,1.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-07,Bristol-Myers Squibb,San Diego County,92.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-07,Bristol-Myers Squibb,San Diego County,169.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-13,AbbVie Inc.,Orange County,99.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-13,Mouser Electronics,San Diego County,10.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-13,"Marriott Resorts Hospitality Corporation and Marriott
Ownership Resorts, Inc.",San Francisco County,69.0,Layoff Temporary,,ca_2022_23.pdf,CA
2022-09-06,Bakersfield Heart Hospital,Kern County,115.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-02,"Curative, Inc.",Los Angeles County,109.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-14,"Brentwood Originals, Inc.",Los Angeles County,113.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-14,Musco Family Olive Co.,Glenn County,13.0,Layoff Temporary,,ca_2022_23.pdf,CA
2022-09-14,"Genapsys, Inc.",San Mateo County,1.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-07,Hobie Cat Co.,San Diego County,137.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-08,"Transamerican Auto Parts (TAP) Manufacturing LLC
and TAP Worldwide LLC",San Diego County,73.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-14,Twilio,San Francisco County,108.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-08,"Direct Delivery Service, Inc.",Contra Costa County,49.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-08,"Direct Delivery Service, Inc.",Sacramento County,49.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-08,"Direct Delivery Service, Inc.",San Joaquin County,41.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-16,"G&C Staffing, LLC",Santa Clara County,66.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-19,"Granular, Inc. wholly owned subsidiary of Corteva, Inc.",San Francisco County,57.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-19,Onsemi,Santa Clara County,88.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-20,Nordstrom,Los Angeles County,79.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-19,"Tremor International, LTD",San Mateo County,49.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-20,"Gap, Inc.",San Francisco County,104.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-20,"Gap, Inc.",San Francisco County,7.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-22,Schneider Electric,Fresno County,15.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-21,Kitty Hawk Corporation Location 1,Santa Clara County,18.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-21,Kitty Hawk Corporation Location 2,Santa Clara County,69.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-21,Kitty Hawk Corporation Location 3,Santa Clara County,11.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-21,Kitty Hawk Corporation Location 4,Santa Clara County,2.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-23,Summit Funding Inc.,Sacramento County,72.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-26,"WeDriveU, Inc.",Alameda County,51.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-26,"Nutrition Corp, Inc. dba Fresh &lsquo;N Lean",Orange County,353.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-26,"WeDriveU, Inc.",San Mateo County,46.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-21,"Dreyer's Grand Ice Cream, Inc.",Kern County,905.0,Layoff Temporary,,ca_2022_23.pdf,CA
2022-09-26,Hallcon Corporation,San Francisco County,63.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-20,"Dreyer's Grand Ice Cream, Inc.",Tulare County,308.0,Layoff Temporary,,ca_2022_23.pdf,CA
2022-09-14,"NBCUniversal Media, LLC and NBC West, LLC",Los Angeles County,10.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-28,"Lucas Oil Products, Inc. with subsidiaries of Mav'rick
Entertainment Network, Inc.",Riverside County,93.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-16,Amentum,San Diego County,70.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-29,Albertson's Santa Fe Springs Pharmacy,Los Angeles County,21.0,Closure Permanent,,ca_2022_23.pdf,CA
