state,company_raw,notice_date,n_employees,city,county,layoff_type,source
IL,"Natural Fiber Welding, Inc.",2024-12-10,90.0,Peoria,,Reduction,warn_or.json
OR,Remote Workers - Oregon,2024-12-10,1.0,Portland,,Reduction,warn_or.json
OR,Cabinet Door Service,2024-11-19,60.0,Salem,,Large Layoff - 10 or more workers,warn_or.json
OR,Wells Fargo N.A. William Barnhart Cente,2024-12-03,500.0,Hillsboro,,Permanent closure,warn_or.json
OR,Hawthorne Ave - Salem,2024-12-03,221.0,Salem,,Permanent closure,warn_or.json
OR,The Boeing Company - Oregon Location,2024-11-15,50.0,Portland,,Reduction,warn_or.json
OR,#4184 - Portland,2024-11-14,13.0,Portland,,Permanent closure,warn_or.json
OR,#4324 - Sandy,2024-11-14,16.0,Sandy,,Permanent closure,warn_or.json
OR,#3573 - Gresham,2024-11-14,12.0,Gresham,,Permanent closure,warn_or.json
OR,#3911 - Milwaukie,2024-11-14,14.0,Milwaukie,,Permanent closure,warn_or.json
OR,#3113 - Beaverton,2024-11-14,9.0,Beaverton,,Permanent closure,warn_or.json
OR,#9938 - Portland,2024-11-14,9.0,Portland,,Permanent closure,warn_or.json
OR,#3574 - Gresham,2024-11-14,9.0,Gresham,,Permanent closure,warn_or.json
OR,#7866 - Beaverton,2024-11-14,8.0,Beaverton,,Permanent closure,warn_or.json
OR,#4181 - Portland,2024-11-14,9.0,Portland,,Permanent closure,warn_or.json
OR,Distribution Center - Portland,2024-11-14,80.0,Portland,,Permanent closure,warn_or.json
OR,#3612 - Hillsboro,2024-11-14,6.0,Hillsboro,,Permanent closure,warn_or.json
OR,Hillsboro Client Site,2024-11-05,205.0,Hillsboro,,Large Layoff - 10 or more workers,warn_or.json
OR,"True Value Company, L.L.C.",2024-10-15,98.0,Springfield,,Permanent closure,warn_or.json
OR,"Misfits Markets, Inc.",2024-10-30,64.0,Clackamas,,Permanent closure,warn_or.json
OR,DENNIS Uniform,2024-10-19,111.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
