company,ticker,cik,edgar_filings_url,edgar_fulltext_url,trigger,lookback_months,discretion,covers_former,severance_link,adopted_date,source_url,confidence
NEXPOINT RESIDENTIAL TR INC,NXRT,0001620393,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001620393&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001620393,,,,,,,,
LTC PROPERTIES INC,LTC,0000887905,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000887905&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000887905,,,,,,,,
SPS COMMERCE INC,SPSC,0001092699,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001092699&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001092699,,,,,,,,
O-I GLASS INC,OI,0000812074,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000812074&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000812074,,,,,,,,
WALKER & DUNLOP INC,WD,0001497770,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001497770&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001497770,,,,,,,,
NATIONAL BANK HLDGS CORP,NBHC,0001475841,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001475841&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001475841,,,,,,,,
PIPER SANDLER COS,PIPR,0001230245,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001230245&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001230245,,,,,,,,
ELLINGTON FINANCIAL INC,EFC,0001411342,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001411342&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001411342,,,,,,,,
PHOTRONICS INC,PLAB,0000810136,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000810136&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000810136,,,,,,,,
FIRST BANCORP/NC,FBNC,0000811589,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000811589&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000811589,,,,,,,,
